aX,aY,aZ,gX,gY,gZ
-0.420,-2.267,-0.078,55.603,-32.227,-134.277
-0.525,-2.392,-0.059,37.476,-38.696,-125.366
-0.526,-2.462,-0.083,31.433,-28.503,-103.455
-0.452,-2.531,-0.112,39.856,-7.507,-78.979
-0.434,-2.598,0.007,50.903,2.380,-62.561
-0.406,-2.665,0.052,51.514,-14.587,-53.589
-0.580,-2.680,0.105,37.292,-40.039,-45.105
-0.619,-2.712,0.201,19.043,-31.189,-36.194
-0.546,-2.840,0.254,-3.906,-13.855,-27.344
-0.519,-2.851,0.201,-30.396,-4.639,-18.738
-0.510,-2.779,0.106,-50.598,2.930,-8.057
-0.458,-2.696,0.024,-55.237,9.521,6.165
-0.443,-2.584,-0.009,-48.523,10.498,21.606
-0.431,-2.475,-0.016,-40.833,8.179,36.133
-0.401,-2.336,-0.021,-38.879,7.385,48.218
-0.383,-2.166,-0.046,-41.687,8.362,58.228
-0.347,-1.985,-0.093,-44.128,10.254,68.115
-0.303,-1.824,-0.144,-46.814,12.939,75.684
-0.277,-1.689,-0.158,-49.133,13.062,79.712
-0.259,-1.590,-0.121,-52.063,10.315,80.933
-0.253,-1.481,-0.079,-61.096,9.888,81.055
-0.207,-1.350,-0.070,-78.491,14.160,79.773
-0.162,-1.210,-0.096,-96.313,17.578,77.087
-0.133,-1.073,-0.110,-104.309,19.714,75.195
-0.103,-0.965,-0.096,-101.746,20.203,74.341
-0.080,-0.874,-0.075,-92.834,19.836,74.402
-0.078,-0.782,-0.054,-79.346,21.484,75.745
-0.055,-0.687,-0.065,-64.270,24.109,78.125
-0.049,-0.607,-0.094,-51.270,26.917,79.834
-0.027,-0.526,-0.049,-42.114,30.884,78.674
0.053,-0.491,-0.086,-33.447,29.358,78.125
0.040,-0.419,-0.138,-28.503,17.700,71.350
-0.014,-0.364,-0.188,-27.283,10.010,63.110
0.001,-0.386,-0.188,-26.611,9.705,56.152
0.023,-0.412,-0.175,-30.334,10.803,49.805
0.030,-0.379,-0.181,-38.025,11.475,43.579
0.065,-0.347,-0.189,-42.847,13.977,37.354
0.120,-0.368,-0.197,-40.588,15.015,31.616
0.135,-0.410,-0.181,-29.419,10.315,26.550
0.122,-0.473,-0.137,-13.916,1.587,22.217
0.101,-0.521,-0.085,-2.014,-5.493,18.066
0.081,-0.544,-0.036,7.141,-8.728,14.832
0.066,-0.583,-0.020,15.076,-10.071,11.780
0.053,-0.632,-0.038,20.386,-10.864,7.812
0.033,-0.662,-0.055,21.240,-9.583,4.456
0.029,-0.680,-0.060,16.785,-6.042,1.587
0.056,-0.698,-0.066,5.554,-1.282,-3.296
0.073,-0.701,-0.078,-7.935,2.258,-9.949
0.081,-0.711,-0.086,-14.587,3.601,-16.296
0.090,-0.737,-0.098,-14.160,4.333,-20.447
0.100,-0.787,-0.106,-11.169,4.333,-21.973
0.099,-0.845,-0.077,-5.310,2.625,-20.081
0.079,-0.880,-0.026,2.686,-0.488,-14.465
0.078,-0.865,0.004,9.094,-1.587,-6.836
0.088,-0.833,0.018,13.550,-0.122,-2.014
0.089,-0.808,0.019,18.860,1.221,-0.427
0.085,-0.804,0.021,24.231,1.221,-1.221
0.085,-0.822,0.022,26.672,1.526,-3.479
0.083,-0.835,0.024,26.245,3.113,-6.042
0.082,-0.839,0.024,23.621,4.883,-8.240
0.084,-0.858,0.009,20.447,6.287,-10.437
0.084,-0.901,0.007,16.602,6.897,-12.939
0.075,-0.934,0.010,11.658,6.042,-15.137
0.063,-0.954,0.009,6.653,5.066,-16.174
0.058,-0.961,0.005,2.930,6.287,-15.869
0.059,-0.961,0.000,1.709,7.568,-15.564
0.058,-0.969,-0.005,2.502,7.935,-15.137
0.062,-0.977,-0.011,4.883,7.751,-14.587
0.057,-0.984,-0.024,8.484,7.324,-14.221
0.055,-1.015,-0.030,12.329,6.653,-13.733
0.051,-1.052,-0.022,13.794,5.188,-13.123
0.043,-1.075,-0.004,13.245,3.540,-12.024
0.035,-1.090,0.018,11.475,2.930,-10.498
0.032,-1.096,0.022,8.911,3.113,-8.972
0.039,-1.082,0.009,6.653,4.883,-7.080
0.049,-1.057,-0.007,5.920,6.226,-5.432
0.063,-1.031,-0.023,6.714,6.104,-4.333
0.070,-1.024,-0.020,8.972,4.639,-4.333
0.065,-1.029,-0.011,12.024,2.136,-4.272
0.057,-1.045,-0.001,14.648,0.122,-3.601
0.050,-1.067,0.006,15.991,-0.305,-2.258
0.046,-1.067,0.003,14.709,0.244,-0.732
0.049,-1.056,-0.008,11.719,1.404,0.305
0.058,-1.044,-0.018,8.789,1.892,0.732
0.065,-1.031,-0.024,7.324,1.465,1.038
0.068,-1.013,-0.031,8.362,0.549,1.648
0.074,-1.009,-0.026,10.986,-0.122,2.380
0.062,-1.011,-0.019,12.878,-2.075,2.136
0.050,-1.023,-0.008,13.489,-3.784,1.587
0.044,-1.045,0.005,12.390,-3.906,1.343
0.041,-1.052,0.003,9.827,-3.235,1.343
0.040,-1.049,-0.001,6.775,-2.136,1.648
0.042,-1.036,-0.006,4.517,-1.160,2.075
0.049,-1.020,-0.016,3.723,0.000,2.808
0.057,-1.014,-0.026,5.432,0.549,3.540
0.061,-1.021,-0.029,8.423,-0.305,3.845
0.056,-1.028,-0.026,10.132,-2.380,3.784
0.050,-1.033,-0.019,10.010,-4.028,3.601
0.049,-1.037,-0.014,9.155,-4.578,3.540
0.054,-1.039,-0.023,7.935,-3.845,3.906
0.058,-1.031,-0.024,6.897,-3.662,4.395
0.059,-1.016,-0.019,6.470,-4.395,4.822
0.058,-1.008,-0.010,7.202,-5.127,4.700
0.059,-1.003,-0.008,8.423,-5.249,4.578
0.059,-1.001,-0.011,8.911,-4.822,4.272
0.060,-1.002,-0.008,8.606,-4.211,3.235
0.059,-1.001,-0.007,7.019,-4.272,2.136
0.056,-1.001,-0.003,5.798,-3.845,1.404
0.055,-1.001,0.001,5.371,-3.235,0.671
0.054,-1.014,0.007,4.700,-2.563,-0.061
0.053,-1.027,0.011,3.784,-2.014,-0.610
0.047,-1.040,0.010,2.258,-1.526,-1.038
0.044,-1.033,0.000,-0.244,-0.122,-0.732
0.052,-1.020,-0.014,-2.075,2.136,-0.549
0.060,-1.021,-0.021,-2.319,2.869,-0.671
0.060,-1.028,-0.021,-1.160,1.770,-1.160
0.052,-1.032,-0.020,0.732,0.366,-1.099
0.048,-1.036,-0.015,2.441,-0.122,-0.183
0.049,-1.038,-0.009,3.540,-0.305,0.732

-0.206,-2.170,0.189,46.997,-18.982,-63.110
-0.167,-2.203,0.193,75.012,-14.709,-41.321
-0.203,-2.250,0.059,104.492,-5.981,-23.071
-0.234,-2.302,-0.038,115.723,8.301,-14.343
-0.221,-2.400,-0.105,93.201,14.893,-16.418
-0.215,-2.475,-0.211,53.467,16.357,-21.790
-0.209,-2.499,-0.248,18.494,16.724,-24.170
-0.191,-2.534,-0.233,-5.066,9.338,-21.362
-0.193,-2.515,-0.158,-13.733,-2.441,-12.085
-0.201,-2.456,-0.041,-8.972,-11.658,1.465
-0.219,-2.352,0.083,-0.549,-17.700,16.052
-0.234,-2.216,0.158,3.784,-17.700,28.381
-0.233,-2.055,0.200,0.610,-12.207,36.743
-0.228,-1.862,0.213,-9.399,-6.775,40.283
-0.206,-1.693,0.201,-20.630,-2.014,39.734
-0.187,-1.536,0.194,-27.039,2.930,38.391
-0.169,-1.397,0.178,-30.945,5.920,36.316
-0.150,-1.289,0.150,-32.654,8.484,33.569
-0.138,-1.204,0.117,-33.752,10.986,31.067
-0.118,-1.109,0.087,-35.706,13.306,28.870
-0.096,-1.009,0.056,-39.124,15.625,26.428
-0.070,-0.921,0.031,-41.504,18.066,22.522
-0.041,-0.849,0.012,-41.992,19.348,16.174
-0.026,-0.817,-0.014,-42.358,18.250,8.423
-0.025,-0.806,-0.058,-41.992,16.479,2.441
-0.015,-0.810,-0.099,-40.771,15.015,-1.404
-0.006,-0.816,-0.125,-37.720,12.268,-3.296
0.004,-0.815,-0.135,-33.691,8.606,-3.296
0.021,-0.803,-0.140,-28.748,6.348,-2.197
0.036,-0.794,-0.146,-23.254,4.822,-1.099
0.037,-0.786,-0.149,-18.005,2.563,-0.305
0.032,-0.787,-0.131,-12.817,-0.854,-0.122
0.023,-0.806,-0.088,-10.132,-4.761,-1.404
0.008,-0.820,-0.043,-9.399,-7.263,-3.235
-0.003,-0.845,-0.001,-8.362,-7.996,-4.944
-0.007,-0.881,0.030,-6.409,-7.751,-6.104
-0.032,-0.912,0.032,-2.747,-7.263,-6.165
-0.044,-0.945,0.028,0.977,-6.470,-5.310
-0.049,-0.957,0.030,1.709,-5.188,-3.784
-0.061,-0.957,0.032,0.061,-4.578,-2.319
-0.065,-0.975,0.045,-0.183,-4.211,-1.038
-0.071,-0.984,0.042,-0.427,-3.235,-0.366
-0.072,-0.990,0.011,-0.366,-0.854,0.732
-0.061,-1.006,-0.012,2.258,1.648,2.014
-0.053,-1.036,-0.021,5.493,1.160,2.808
-0.058,-1.051,-0.023,6.653,-0.854,3.052
-0.065,-1.060,-0.009,5.310,-2.563,3.174
-0.068,-1.069,0.000,2.075,-3.113,3.662
-0.067,-1.077,-0.002,-0.732,-2.136,4.333
-0.063,-1.092,-0.002,-2.075,-1.099,4.700
-0.060,-1.104,0.009,-2.136,-1.465,4.944
-0.066,-1.103,0.015,-1.892,-1.709,5.737
-0.065,-1.097,0.010,0.122,0.061,7.263
-0.049,-1.087,0.011,2.563,1.831,8.545
-0.048,-1.073,0.013,3.235,2.075,9.094
-0.053,-1.076,0.013,2.808,1.587,8.850
-0.054,-1.100,0.025,1.160,1.770,8.423
-0.058,-1.096,0.016,-3.174,2.563,8.728
-0.046,-1.076,0.001,-7.935,4.883,9.766
-0.027,-1.052,-0.010,-9.705,6.958,10.864
-0.016,-1.040,-0.004,-8.057,6.470,11.414
-0.022,-1.031,-0.005,-5.493,4.944,11.475
-0.021,-1.023,-0.004,-3.418,5.310,11.658
-0.017,-1.017,-0.008,-2.625,5.981,11.658
-0.014,-1.011,-0.016,-2.930,6.531,11.719
-0.003,-1.002,-0.020,-3.174,6.897,11.292
0.002,-1.000,-0.021,-2.197,6.592,11.047
0.004,-0.998,-0.014,0.671,5.310,10.864
0.003,-1.001,0.007,5.188,4.028,10.620
-0.003,-1.025,0.028,8.911,2.380,10.620
-0.013,-1.042,0.044,8.179,2.319,10.559
-0.017,-1.035,0.043,2.502,4.211,10.864
-0.007,-1.013,0.021,-4.028,7.446,10.864
0.009,-0.999,-0.005,-8.789,9.155,10.620
0.020,-0.985,-0.022,-10.437,8.118,9.827
0.027,-0.973,-0.026,-8.606,5.615,9.399
0.035,-0.970,-0.010,-3.479,3.052,9.644
0.028,-0.969,0.003,2.625,0.854,10.376
0.027,-0.966,0.011,7.690,-0.305,10.925
0.028,-0.959,0.015,8.484,-0.366,10.620
0.029,-0.951,0.013,6.348,-0.549,9.399
0.029,-0.954,0.014,4.211,-0.244,7.996
0.031,-0.960,0.015,0.671,0.061,6.226
0.031,-0.963,0.008,-3.418,0.610,4.944
0.030,-0.956,0.002,-5.371,1.526,4.517
0.041,-0.952,0.006,-5.554,1.404,4.395
0.040,-0.935,0.004,-4.639,0.610,3.784
0.044,-0.931,0.001,-2.075,0.488,3.845
0.045,-0.932,0.012,2.258,-0.366,3.601
0.042,-0.950,0.018,6.592,-2.075,3.296
0.035,-0.972,0.004,10.803,-2.686,3.296
0.028,-0.989,0.011,13.977,-2.747,3.540
0.018,-1.000,0.029,14.832,-4.333,3.723
0.008,-0.995,0.039,13.428,-5.066,3.479
0.007,-0.983,0.051,11.780,-4.089,3.357
0.006,-0.969,0.057,11.536,-2.991,3.479
0.010,-0.959,0.047,13.000,-1.587,3.723
0.015,-0.964,0.022,14.099,0.244,3.479
0.019,-0.980,-0.007,13.306,2.197,2.502
0.018,-1.005,-0.017,11.597,2.197,1.709
0.014,-1.003,-0.017,8.362,1.221,1.709
0.016,-0.986,-0.025,6.409,1.404,2.441
0.026,-0.989,-0.029,7.019,2.197,2.991
0.030,-1.006,-0.034,8.972,1.648,2.991
0.023,-1.012,-0.029,9.399,0.183,3.113
0.024,-1.002,-0.012,9.216,-1.099,4.517
0.027,-0.986,0.008,9.705,-1.404,6.470
0.027,-0.963,0.018,10.803,-0.610,8.057
0.030,-0.944,0.009,12.512,1.343,9.338
0.037,-0.927,-0.011,13.550,3.418,9.827
0.047,-0.917,-0.046,11.902,4.517,8.911
0.063,-0.908,-0.071,8.362,4.944,6.958
0.078,-0.895,-0.074,5.920,3.784,5.066
0.078,-0.880,-0.063,6.592,1.160,3.845
0.078,-0.881,-0.041,9.827,-0.793,3.601
0.073,-0.896,-0.018,13.611,-1.648,3.540
0.060,-0.909,-0.003,14.526,-1.953,3.052
0.055,-0.930,-0.009,10.925,-1.038,1.770
0.057,-0.935,-0.027,5.920,1.160,0.671

-0.520,-2.393,-0.258,-36.865,10.254,-221.375
-0.509,-2.764,-0.288,-47.363,10.071,-202.087
-0.501,-3.025,-0.377,-26.367,8.057,-167.786
-0.462,-3.258,-0.512,19.104,6.042,-124.451
-0.433,-3.330,-0.560,63.660,0.305,-79.895
-0.380,-3.220,-0.512,89.478,-11.902,-37.781
-0.335,-2.972,-0.423,96.497,-18.677,-5.127
-0.277,-2.714,-0.351,89.783,-17.212,16.418
-0.236,-2.449,-0.311,70.068,-12.756,26.917
-0.199,-2.237,-0.299,43.152,-8.728,29.297
-0.166,-2.087,-0.264,17.822,-7.385,27.466
-0.135,-1.958,-0.217,-0.793,-7.751,26.306
-0.163,-1.762,-0.191,-8.240,-8.423,28.748
-0.118,-1.619,-0.160,-4.639,-4.761,36.804
-0.112,-1.441,-0.145,1.648,-1.648,42.664
-0.129,-1.293,-0.154,7.202,-2.014,45.715
-0.116,-1.194,-0.161,10.925,0.122,46.265
-0.116,-1.092,-0.182,7.629,1.526,43.030
-0.122,-1.005,-0.185,-1.892,0.000,36.133
-0.122,-0.950,-0.167,-10.925,-1.099,27.771
-0.102,-0.933,-0.148,-16.785,-0.549,19.348
-0.083,-0.942,-0.144,-19.775,1.038,11.780
-0.072,-0.939,-0.161,-20.325,1.465,5.798
-0.067,-0.926,-0.184,-17.578,2.380,1.953
-0.063,-0.948,-0.201,-11.841,3.174,-0.977
-0.072,-0.998,-0.203,-7.751,2.441,-3.967
-0.089,-1.021,-0.211,-8.911,0.916,-6.653
-0.089,-1.046,-0.227,-12.512,0.793,-8.789
-0.072,-1.084,-0.219,-15.503,0.061,-10.315
-0.067,-1.115,-0.200,-16.907,-2.502,-11.230
-0.062,-1.135,-0.187,-17.212,-3.845,-11.169
-0.050,-1.145,-0.181,-16.541,-2.930,-9.644
-0.047,-1.141,-0.194,-14.954,-2.136,-7.996
-0.047,-1.135,-0.217,-13.306,-0.916,-6.775
-0.044,-1.147,-0.217,-11.963,-0.793,-6.226
-0.055,-1.153,-0.194,-13.000,-1.831,-6.226
-0.070,-1.158,-0.175,-15.320,-2.075,-6.042
-0.073,-1.164,-0.167,-17.334,0.122,-5.005
-0.071,-1.160,-0.184,-19.836,2.441,-3.357
-0.059,-1.148,-0.213,-20.996,4.578,-0.671
-0.044,-1.124,-0.247,-19.775,6.104,2.930
-0.033,-1.093,-0.270,-17.273,5.981,6.592
-0.031,-1.060,-0.281,-14.893,4.578,9.521
-0.034,-1.039,-0.267,-13.611,2.502,11.108
-0.047,-1.025,-0.244,-14.648,0.671,11.230
-0.051,-1.014,-0.226,-18.250,0.061,10.376
-0.051,-0.994,-0.219,-22.095,1.160,9.277
-0.049,-0.980,-0.211,-23.682,2.014,8.484
-0.049,-0.972,-0.189,-22.949,1.343,7.629
-0.059,-0.976,-0.166,-20.081,0.183,7.019
-0.063,-1.006,-0.144,-17.029,-0.244,7.080
-0.077,-1.026,-0.129,-15.320,-0.122,7.996
-0.079,-1.022,-0.124,-15.381,0.366,9.338
-0.079,-1.019,-0.119,-16.113,1.526,10.437
-0.074,-1.016,-0.118,-14.465,2.197,11.108
-0.066,-1.012,-0.121,-12.817,2.625,11.658
-0.056,-1.014,-0.138,-10.498,3.540,12.207
-0.051,-1.021,-0.149,-7.751,4.395,12.817
-0.049,-1.033,-0.141,-5.188,3.174,13.489
-0.050,-1.028,-0.128,-3.784,2.136,14.038
-0.035,-1.022,-0.136,-3.479,3.357,14.709
-0.029,-1.013,-0.158,-1.221,4.211,15.686
-0.020,-1.019,-0.173,2.625,3.601,16.907
-0.025,-1.015,-0.169,4.883,1.953,18.005
-0.032,-1.005,-0.144,4.272,0.488,18.311
-0.032,-1.003,-0.114,0.916,0.122,17.639
-0.028,-0.995,-0.111,-3.540,1.709,16.418
-0.011,-0.985,-0.135,-7.751,4.761,14.954
0.005,-0.984,-0.160,-7.874,6.348,13.794
0.011,-0.983,-0.172,-4.700,5.310,13.062
0.011,-0.989,-0.179,-0.244,3.540,13.245
0.007,-0.998,-0.167,3.662,1.709,13.794
0.001,-1.005,-0.153,3.540,0.122,13.611
-0.004,-0.999,-0.156,0.122,-0.122,13.184
0.005,-0.990,-0.158,-2.441,0.977,13.184
0.015,-0.994,-0.161,-2.869,0.977,12.695
0.017,-1.009,-0.173,-0.732,0.427,12.268
0.021,-1.033,-0.171,3.235,-0.366,12.085
0.023,-1.050,-0.160,6.653,-2.380,12.695
0.020,-1.047,-0.154,9.094,-3.662,13.794
0.020,-1.042,-0.151,11.780,-3.235,15.320
