aX,aY,aZ,gX,gY,gZ
-0.375,-2.770,-0.286,-53.711,25.696,-73.120
-0.303,-3.247,-0.426,-90.149,37.598,-74.890
-0.228,-3.443,-0.564,-128.052,47.363,-58.289
-0.142,-3.331,-0.597,-149.170,47.119,-23.560
-0.052,-3.064,-0.530,-139.465,35.095,22.644
-0.010,-2.833,-0.365,-102.905,13.428,66.650
-0.079,-2.616,-0.122,-58.716,-10.620,99.670
-0.160,-2.339,0.129,-22.278,-26.184,126.099
-0.229,-1.982,0.327,1.587,-28.992,148.071
-0.250,-1.596,0.387,8.850,-15.991,160.889
-0.104,-1.278,0.250,-4.211,4.211,159.485
-0.257,-0.675,0.075,-36.621,19.409,137.146
-0.333,-0.110,0.015,-82.703,31.982,116.699
-0.218,0.342,-0.266,-108.887,33.264,114.868
0.084,0.632,-0.278,-103.699,48.157,113.892
0.186,0.832,-0.232,-90.210,54.749,95.825
0.169,0.977,-0.205,-68.970,36.255,76.050
0.165,0.973,-0.110,-33.691,23.376,59.814
0.106,0.914,-0.082,-3.601,19.043,43.335
0.055,0.802,-0.076,13.428,18.738,29.541
-0.024,0.742,-0.174,16.052,24.963,15.991
0.031,0.703,-0.300,0.793,36.743,2.380
0.084,0.729,-0.478,-19.897,44.434,-15.198
0.094,0.708,-0.605,-33.997,41.565,-33.997
0.131,0.631,-0.659,-30.151,32.288,-44.739
0.153,0.611,-0.643,-12.024,18.799,-44.739
0.135,0.643,-0.558,13.733,2.625,-40.161
0.077,0.677,-0.377,43.152,-11.963,-36.560
0.019,0.704,-0.201,70.984,-19.836,-34.180
-0.010,0.722,-0.100,92.529,-19.165,-37.476
-0.075,0.692,-0.090,98.999,-14.404,-51.147
-0.101,0.509,-0.084,95.215,-8.240,-72.937
-0.118,0.185,-0.084,86.487,-1.587,-98.389
-0.167,-0.127,-0.112,76.172,2.808,-118.713
-0.195,-0.431,-0.188,72.510,6.104,-126.709
-0.151,-0.821,-0.277,79.285,5.859,-127.197
-0.180,-1.252,-0.306,88.806,0.061,-127.991
-0.294,-1.591,-0.351,91.370,-8.484,-126.221
-0.340,-1.832,-0.357,89.844,-10.803,-111.145
-0.269,-2.026,-0.380,92.163,-6.165,-88.989
-0.253,-2.180,-0.426,94.360,-5.005,-72.266
-0.276,-2.345,-0.494,92.041,-7.507,-62.500
-0.272,-2.506,-0.558,80.505,-8.423,-54.810
-0.249,-2.578,-0.598,61.096,-7.507,-43.396
-0.219,-2.534,-0.631,40.466,-6.165,-28.870
-0.176,-2.432,-0.653,25.208,-5.676,-14.282
-0.150,-2.313,-0.651,18.188,-7.568,-0.916
-0.134,-2.179,-0.605,17.456,-11.230,13.184
-0.118,-1.988,-0.544,17.456,-13.672,27.039
-0.078,-1.805,-0.489,17.212,-14.465,39.734
-0.070,-1.631,-0.450,17.090,-18.250,45.471
-0.092,-1.512,-0.363,9.766,-20.264,43.030
-0.099,-1.428,-0.313,-6.653,-18.677,36.560
-0.067,-1.356,-0.266,-26.733,-13.916,30.151
-0.086,-1.256,-0.277,-46.021,-8.911,24.536
0.021,-1.189,-0.283,-60.608,-2.380,18.738
-0.043,-1.072,-0.304,-71.716,0.305,7.996
-0.102,-1.001,-0.265,-74.524,4.761,7.690
-0.015,-0.948,-0.269,-65.857,7.019,16.113
0.051,-0.880,-0.235,-54.138,6.592,18.799
0.012,-0.831,-0.200,-41.565,-1.831,12.878
-0.034,-0.840,-0.142,-29.175,-10.193,5.554
-0.056,-0.877,-0.097,-23.315,-11.780,-0.061
-0.065,-0.896,-0.066,-24.902,-8.667,-4.395
-0.085,-0.882,-0.052,-29.602,-5.005,-6.836
-0.089,-0.864,-0.066,-34.241,-0.061,-8.423
-0.061,-0.861,-0.082,-35.706,5.188,-10.010
-0.046,-0.884,-0.090,-34.851,7.324,-12.817
-0.053,-0.910,-0.095,-31.860,5.371,-15.198
