aX,aY,aZ,gX,gY,gZ
1.732,-0.780,-0.318,219.849,-851.074,271.362
1.455,-0.724,-0.165,213.013,-791.809,207.642
1.012,-0.636,-0.014,206.238,-693.481,146.606
0.709,-0.587,0.107,202.576,-567.200,102.783
0.546,-0.703,0.071,201.660,-432.007,75.073
0.505,-0.821,-0.077,196.960,-307.617,55.969
0.522,-0.928,-0.186,174.133,-196.899,38.574
0.497,-0.986,-0.183,151.550,-100.952,23.926
0.525,-0.982,-0.128,130.615,-20.874,10.254
0.593,-0.995,-0.098,113.525,38.574,2.625
0.617,-1.084,-0.127,100.098,76.050,-3.784
0.609,-1.126,-0.143,85.266,104.004,-14.709
0.575,-1.119,-0.189,63.232,126.648,-27.283
0.547,-1.108,-0.251,35.339,146.179,-37.231
0.521,-1.083,-0.315,5.737,167.236,-44.312
0.476,-1.016,-0.372,-19.043,192.932,-49.988
0.446,-0.966,-0.405,-33.813,224.609,-53.284
0.456,-0.943,-0.438,-41.931,265.198,-54.504
0.435,-0.974,-0.461,-46.326,320.435,-54.688
0.467,-0.980,-0.502,-53.772,390.442,-61.462
0.585,-1.004,-0.501,-64.026,466.919,-76.904
0.682,-1.028,-0.525,-72.083,538.208,-97.351
0.711,-1.015,-0.558,-83.374,596.436,-118.530
0.716,-0.934,-0.490,-96.497,637.329,-136.230
0.678,-0.922,-0.402,-100.342,663.147,-151.245
0.675,-1.007,-0.385,-95.642,677.429,-169.373
0.608,-1.046,-0.347,-96.802,687.073,-186.951
0.496,-1.010,-0.313,-108.826,685.730,-204.407
0.400,-0.890,-0.337,-114.624,673.340,-219.421
0.327,-0.909,-0.248,-120.789,649.475,-220.947
0.348,-1.029,-0.108,-135.193,609.680,-213.867
0.353,-1.034,-0.031,-151.611,554.199,-204.712
0.286,-0.974,0.043,-153.748,486.511,-185.120
0.237,-0.924,0.134,-147.156,410.706,-154.175
0.224,-0.844,0.284,-140.015,332.947,-117.920
0.203,-0.756,0.456,-135.681,260.803,-82.947
0.183,-0.711,0.593,-125.854,197.693,-51.025
0.171,-0.749,0.655,-101.257,143.250,-24.048
0.143,-0.773,0.622,-64.331,99.548,-6.226
0.094,-0.816,0.529,-26.245,67.139,6.348
0.025,-0.849,0.359,-4.944,44.861,12.878
-0.024,-0.903,0.227,5.737,34.302,14.160
-0.069,-0.917,0.159,8.789,32.288,12.085
-0.120,-0.909,0.119,6.531,34.546,12.085
-0.000,-0.981,0.078,3.845,32.471,14.954
-0.033,-0.968,0.012,-0.610,28.564,17.395
-0.018,-1.002,-0.107,-8.789,31.067,15.503
0.029,-0.970,0.159,-16.113,38.208,13.123
0.103,-0.995,0.060,-1.709,28.320,5.249
0.081,-1.056,0.030,16.052,15.381,-0.854
-0.007,-1.066,0.006,12.634,5.737,1.465
0.013,-1.061,0.068,9.277,-1.099,4.028
-0.040,-1.016,0.084,11.108,-5.920,1.587
-0.050,-1.016,0.091,12.451,-3.357,-1.038
-0.048,-1.015,0.094,12.146,1.282,-5.554
-0.056,-1.033,0.090,13.123,5.127,-7.996
-0.080,-1.031,0.061,11.841,5.676,-8.301
-0.101,-1.043,0.027,10.071,4.578,-6.042
-0.104,-1.059,0.019,7.263,2.014,-3.479
-0.101,-1.053,0.039,3.845,0.366,-0.244
-0.083,-1.044,0.074,1.526,0.427,1.892
-0.068,-1.021,0.100,0.793,0.793,1.892
-0.055,-1.015,0.110,2.380,2.136,2.319
-0.045,-1.012,0.115,4.272,2.136,2.441
-0.038,-1.026,0.098,7.019,1.343,2.930
-0.036,-1.033,0.065,7.751,-0.244,3.174
-0.047,-1.037,0.026,8.484,-0.916,3.052
-0.054,-1.037,0.008,8.179,-0.061,1.953
-0.058,-1.023,0.002,6.104,1.953,0.366
-0.067,-1.024,0.007,3.723,5.188,-0.854
-0.073,-1.016,0.019,0.305,8.362,-2.808
-0.065,-1.009,0.047,-1.282,11.780,-3.479
-0.046,-0.997,0.080,-2.258,12.878,-3.906
-0.031,-0.988,0.113,-1.587,12.146,-3.479
-0.015,-0.979,0.133,0.000,9.399,-2.747
-0.003,-0.977,0.143,2.136,4.028,-0.488
0.003,-0.984,0.132,5.005,-2.380,2.502
-0.009,-0.988,0.089,7.202,-7.507,3.967
-0.040,-1.002,0.038,10.559,-8.606,4.211
-0.057,-1.022,0.014,11.780,-7.935,2.747
-0.053,-1.024,0.015,10.864,-5.676,1.526
-0.044,-1.022,0.038,7.141,-3.662,0.854
-0.030,-1.020,0.056,4.272,-2.991,0.549
-0.019,-1.023,0.073,4.456,-2.991,0.305
-0.018,-1.024,0.084,4.639,-4.333,-0.305
-0.018,-1.031,0.082,5.859,-5.432,-0.305
-0.010,-1.037,0.078,6.775,-8.545,0.427
-0.012,-1.035,0.075,7.507,-13.489,2.563
-0.021,-1.028,0.084,8.118,-20.569,4.700
-0.023,-1.017,0.093,9.216,-28.442,8.423
0.000,-1.012,0.086,10.254,-36.072,12.268
0.004,-1.029,0.063,11.414,-45.654,15.564
-0.029,-1.036,0.031,13.000,-57.495,21.240
-0.070,-1.029,-0.001,11.902,-69.824,28.076
-0.085,-1.031,-0.034,9.888,-77.209,34.729
-0.070,-1.057,-0.055,7.385,-79.163,37.415
-0.067,-1.079,-0.057,5.188,-73.059,36.377
-0.061,-1.067,-0.035,0.244,-59.753,31.006
-0.037,-1.051,-0.001,-4.028,-43.518,23.315
-0.004,-1.042,0.034,-5.310,-28.320,14.771
0.010,-1.022,0.062,-5.859,-16.113,6.897
0.009,-1.005,0.076,-4.883,-7.080,1.404
-0.024,-0.999,0.074,-3.601,-2.136,-3.052
-0.056,-0.990,0.070,-2.258,2.563,-5.493
-0.067,-0.985,0.069,-1.770,6.714,-6.104
-0.062,-0.980,0.067,-1.099,10.193,-5.432
-0.038,-0.987,0.067,-0.366,12.329,-3.906
0.016,-1.011,0.047,-0.061,10.742,-1.587
0.093,-1.052,0.001,-0.671,3.357,3.113
0.179,-1.012,0.014,-6.104,-16.541,9.460
0.399,-0.924,0.167,-7.324,-51.880,15.930
0.730,-0.874,0.471,8.850,-106.384,23.621
0.875,-0.911,0.696,35.950,-182.434,38.574
0.925,-0.903,0.817,54.565,-283.447,61.707
0.978,-0.966,0.942,84.778,-407.532,95.398
0.951,-0.999,0.955,133.057,-542.847,137.207
0.819,-0.932,0.741,182.312,-668.884,168.396
0.770,-0.932,0.317,217.834,-767.273,184.509
0.979,-0.993,-0.174,231.934,-838.196,196.350

1.445,-0.759,-0.978,197.144,-910.339,192.871
1.422,-0.696,-1.382,179.993,-915.283,178.467
1.259,-0.877,-1.547,169.922,-882.996,153.870
