aX,aY,aZ,gX,gY,gZ
0.111,-1.226,-1.118,-156.494,352.966,47.729
0.095,-0.881,-1.150,-145.752,304.138,44.067
-0.166,-0.825,-1.011,-100.220,262.573,44.189
-0.239,-0.792,-0.760,-61.218,228.088,44.861
-0.237,-0.713,-0.578,-40.710,197.449,39.978
-0.366,-0.739,-0.469,-38.879,172.241,23.987
-0.462,-0.752,-0.403,-37.781,152.405,8.423
-0.498,-0.770,-0.428,-34.424,134.338,-1.099
-0.467,-0.779,-0.483,-31.982,116.272,-6.042
-0.445,-0.782,-0.520,-29.419,98.145,-8.911
-0.393,-0.750,-0.511,-27.222,77.942,-9.827
-0.332,-0.725,-0.497,-26.733,57.739,-12.085
-0.276,-0.751,-0.402,-16.907,39.063,-15.259
-0.238,-0.796,-0.286,3.967,21.179,-17.517
-0.200,-0.920,-0.186,18.799,8.484,-19.592
-0.158,-0.972,-0.018,27.039,4.639,-21.545
-0.095,-1.016,0.078,29.846,5.920,-19.653
0.038,-1.035,0.049,28.625,9.705,-19.409
0.158,-1.048,-0.058,27.100,11.292,-21.240
0.235,-1.056,-0.184,30.273,6.653,-23.132
0.258,-1.095,-0.306,36.804,-2.319,-21.973
0.229,-1.145,-0.289,42.175,-10.681,-17.700
0.238,-1.162,-0.186,46.875,-17.761,-10.803
0.204,-1.155,-0.075,52.185,-23.376,-6.348
0.146,-1.160,0.031,55.908,-24.658,-5.127
0.155,-1.183,0.054,59.998,-20.996,-2.625
0.185,-1.175,-0.060,58.350,-17.822,-1.648
0.136,-1.170,-0.194,53.833,-21.118,-2.197
0.123,-1.140,-0.294,58.289,-27.344,-0.488
0.176,-1.106,-0.407,67.261,-36.926,4.272
0.243,-1.036,-0.576,68.970,-52.673,5.310
0.350,-0.955,-0.779,66.711,-77.820,5.127
0.448,-0.870,-0.983,72.571,-114.441,4.700
0.363,-0.876,-1.144,85.022,-161.804,1.709
0.158,-0.932,-1.177,99.548,-212.158,-4.639
-0.114,-0.906,-1.074,108.337,-254.089,-16.052
-0.246,-0.742,-0.898,111.206,-283.020,-25.757
-0.537,-0.845,-0.842,110.901,-301.392,-22.400
